genres,vendas_pessimista,vendas_otimista,numero_jogos,rentabilidade_media
"Sexual Content;Nudity;Violent;Gore;Action;Adventure",34990000,69980000,1,34990000
"Nudity;Violent;Gore;Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access",37980000,95029799.99999999,2,18990000
Violent;Gore;Action;Simulation;Strategy,14995000,29990000,1,14995000
"Action;Adventure;Indie;Massively Multiplayer;RPG",372426100,745667000,12,11579166.666666666
"Action;Adventure;Massively Multiplayer",1417919000,2870311600,6,11330000
"Action;Adventure;Indie;Massively Multiplayer;RPG;Simulation;Strategy",9745000,19490000,1,9745000
"Action;Massively Multiplayer;Simulation;Strategy",9495000,18990000,1,9495000
"Design & Illustration;Web Publishing",38693000,84544800,3,8831666.666666666
Nudity;Violent;RPG,7495000,14990000,1,7495000
"Animation & Modeling;Education;Utilities;Web Publishing",6998999.999999999,13997999.999999998,1,6998999.999999999
