publisher,jogos_lancados,faturamento_min,faturamento_max,rentabilidade_por_jogo,avaliacoes_positivas_percentual
"PUBG Corporation",1,1349500000,2699000000,1349500000,50.46320000
"Warner Bros Interactive Entertainment",1,224950000,449900000,224950000,86.03020000
"Studio Wildcard",1,224950000,449900000,224950000,68.52980000
"Facepunch Studios",3,138950000,277900000,46316666.666666664,72.15523333
"CD PROJEKT RED",3,124949999.99999999,249899999.99999997,41649999.99999999,87.95400000
"2K;Aspyr (Mac);Aspyr (Linux)",5,99949999.99999999,199899999.99999997,19989999.999999996,77.50834000
"Torn Banner Studios",1,94949999.99999999,189899999.99999997,94949999.99999999,82.48020000
"FromSoftware, Inc.;BANDAI NAMCO Entertainment",1,79980000,199950000,79980000,90.98170000
"Behaviour Digital Inc.",2,74950000,149900000,37475000,62.05710000
"Psyonix, Inc.",1,74950000,149900000,74950000,91.74810000
"SCS Software",6,74950000,149900000,12491666.666666666,80.57961667
"Square Enix;Feral Interactive (Mac);Feral Interactive (Linux)",4,74950000,149900000,18737500,94.58432500
"Starbreeze Publishing AB",4,74900000,149800000,18725000,71.97632500
Valve,30,71900000,143800000,2396666.6666666665,89.44651000
"Codemasters;Feral Interactive (Linux)",1,59980000,149950000,59980000,58.49860000
"Private Division ",1,59980000,149950000,59980000,90.51670000
"SEGA;Feral Interactive (Linux);Feral Interactive (Mac)",1,39990000,79980000,39990000,75.12090000
"2K;Missing Link Games",1,39980000,99949999.99999999,39980000,92.52870000
"2K;Aspyr (Mac)",2,39980000,99949999.99999999,19990000,72.42835000
"Red Hook Studios",1,37980000,94949999.99999999,37980000,86.03910000
"The Fun Pimps Entertainment LLC",1,37980000,94949999.99999999,37980000,78.22170000
"Dovetail Games - Trains",1,34990000,69980000,34990000,61.63640000
Re-Logic,2,34950000,69900000,17475000,84.80830000
"Warner Bros. Interactive Entertainment;Feral Interactive (Mac);Feral Interactive (Linux)",1,31980000,79950000,31980000,90.48040000
"Red Barrels",2,30980000,77450000,15490000,91.63580000
"Endnight Games Ltd",1,30980000,77450000,30980000,92.55830000
"ConchShip Games",1,30980000,77450000,30980000,88.75360000
"BANDAI NAMCO Entertainment;FromSoftware, Inc",2,29990000,59980000,14995000,87.29165000
"Warhorse Studios;Deep Silver",1,29990000,59980000,29990000,76.33670000
"SEGA;Feral Interactive (Mac/Linux)",2,29980000,74950000,14990000,89.55110000
"Warner Bros. Interactive Entertainment;Feral Interactive (Mac)",9,29980000,74950000,3331111.111111111,85.64782222
"Io-Interactive A/S;Feral Interactive (Mac)",1,29980000,74950000,29980000,90.37860000
"2K;Feral Interactive (Mac);Feral Interactive (Linux)",2,29980000,74950000,14990000,87.51930000
