genres,clientes_pessimista,clientes_otimista,numero_jogos,clientes_por_jogo_pessimista,clientes_por_jogo_otimista
Action,333430000,714650000,843,11862.3962,23724.7924
"Action;Free to Play",131080000,290740000,40,500000.0000,1250000.0000
Action;Adventure,116690000,256770000,363,27548.2094,55096.4187
"Action;Free to Play;Strategy",101560000,203350000,8,12500000.0000,25000000.0000
Strategy,81530000,181890000,485,103.0928,206.1856
Action;Indie,64560000,166290000,1852,10.7991,26.9978
Action;Adventure;Indie,54000000,138610000,1229,162.7339,406.8348
RPG,59360000,127550000,270,370.3704,740.7407
Adventure;Indie,48220000,126100000,1170,0.0000,17.0940
Action;RPG,50590000,112460000,98,10204.0816,20408.1633
