publisher,jogos_lancados
"Big Fish Games",212
"Strategy First",135
Ubisoft,107
"THQ Nordic",97
"Choice of Games",94
"Square Enix",90
"Sekai Project",89
"Dagestan Technology",88
"1C Entertainment",86
Degica,77
????,74
SEGA,71
"KISS ltd",70
"Plug In Digital",70
"Slitherine Ltd.",69
"KOEI TECMO GAMES CO., LTD.",68
"Artifex Mundi",67
"Buka Entertainment",66
Atriagames,64
"AGM PLAYISM",63
"Devolver Digital",62
"Ripknot Systems",62
"BANDAI NAMCO Entertainment",57
"Focus Home Interactive",55
"Laush Studio",55
"Back To Basics Gaming",54
"Paradox Interactive",54
"United Independent Entertainment GmbH",52
8Floor,50
"Ghost_RUS Games",50
"VT Publishing",49
"Forever Entertainment S. A.",49
"Daedalic Entertainment",49
RewindApp,48
"Kalypso Media Digital",46
"Sometimes You",46
2K,45
Microids,45
"Dexion Games",45
Activision,44
"OtakuMaker SARL",44
MangaGamer,42
"Hosted Games",42
"Team17 Digital Ltd",40
"Blender Games",40
"New Reality Games",38
"Tero Lunkka",38
"Alawar Entertainment",37
"Iceberg Interactive",37
"Disney Interactive",36
MumboJumbo,35
"Humongous Entertainment;Nightdive Studios",35
"Aldorlea Games",35
"Deep Silver",35
"For Kids",35
"HexWar Games",34
Capcom,33
EnsenaSoft,33
?????,32
"HeR Interactive",32
"Electronic Arts",32
"Bethesda Softworks",30
HH-Games,30
"Funbox Media Ltd",29
"Microids Indie",29
Qumaron,29
"Retroism;Nightdive Studios",29
"Nightdive Studios",28
"AYE Technology",28
GrabTheGames,27
tinyBuild,27
"Microsoft Studios",27
"Viva Media",26
HandyGames,26
Libredia,26
SlyGames,26
"Bitlock Studio",25
GameHouse,25
"Paradise Project",25
"NIS America, Inc.",25
"Asmodee Digital",25
"Arc System Works",25
"LucasArts;Lucasfilm;Disney Interactive",24
"Jetdogs Studios",24
"Firehawk Studios",24
"Bigben Interactive",24
"DRUNKEN APES",24
W.T.B.,24
SakuraGame,23
Riviysky,23
"Bohemia Interactive",23
"Rising Star Games",23
"Adult Swim Games",23
"Winter Wolves",23
Rebellion,23
"Headup Games",23
"505 Games",22
"Digital Tribe",22
NedoStudio,22
"Metal Fox",22
