publisher,paginas_suporte_por_publisher,jogos_lancados,faturamento_min,suporte_por_jogo
"PUBG Corporation",1,1,1349500000,1.0000
"Warner Bros Interactive Entertainment",0,1,224950000,0.0000
"Studio Wildcard",1,1,224950000,1.0000
"Facepunch Studios",2,3,138950000,0.6667
"CD PROJEKT RED",2,3,124949999.99999999,0.6667
"2K;Aspyr (Mac);Aspyr (Linux)",5,5,99949999.99999999,1.0000
"Torn Banner Studios",1,1,94949999.99999999,1.0000
"FromSoftware, Inc.;BANDAI NAMCO Entertainment",1,1,79980000,1.0000
"Square Enix;Feral Interactive (Mac);Feral Interactive (Linux)",4,4,74950000,1.0000
"SCS Software",6,6,74950000,1.0000
"Psyonix, Inc.",1,1,74950000,1.0000
"Starbreeze Publishing AB",3,4,74900000,0.7500
Valve,24,30,71900000,0.8000
"Private Division ",1,1,59980000,1.0000
"Codemasters;Feral Interactive (Linux)",1,1,59980000,1.0000
"SEGA;Feral Interactive (Linux);Feral Interactive (Mac)",1,1,39990000,1.0000
"2K;Aspyr (Mac)",2,2,39980000,1.0000
"2K;Missing Link Games",1,1,39980000,1.0000
"The Fun Pimps Entertainment LLC",1,1,37980000,1.0000
"Red Hook Studios",1,1,37980000,1.0000
"Dovetail Games - Trains",1,1,34990000,1.0000
Re-Logic,2,2,34950000,1.0000
"Warner Bros. Interactive Entertainment;Feral Interactive (Mac);Feral Interactive (Linux)",1,1,31980000,1.0000
"Red Barrels",2,2,30980000,1.0000
"Endnight Games Ltd",1,1,30980000,1.0000
"ConchShip Games",0,1,30980000,0.0000
"BANDAI NAMCO Entertainment;FromSoftware, Inc",2,2,29990000,1.0000
"Frontier Developments",4,5,29990000,0.8000
"Warhorse Studios;Deep Silver",1,1,29990000,1.0000
"SEGA;Feral Interactive (Mac/Linux)",2,2,29980000,1.0000
"Warner Bros. Interactive Entertainment;Feral Interactive (Mac)",7,9,29980000,0.7778
"2K;Feral Interactive (Mac);Feral Interactive (Linux)",2,2,29980000,1.0000
"Io-Interactive A/S;Feral Interactive (Mac)",1,1,29980000,1.0000
"Ludeon Studios",1,1,27790000,1.0000
Degica,68,77,26495000,0.8831
"Codemasters;Feral Interactive (Linux);Feral Interactive (Mac)",1,1,24990000,1.0000
"Hinterland Studio Inc.",1,1,23790000,1.0000
"Grapeshot Games",0,1,23790000,0.0000
"System Era Softworks",1,1,23790000,1.0000
"Slightly Mad Studios;BANDAI NAMCO Entertainment",2,2,23390000,1.0000
"Supergiant Games",3,3,22780000,1.0000
"Thunder Lotus Games",2,2,22780000,1.0000
"Motion Twin",1,1,21990000,1.0000
"Pocketwatch Games",2,4,21980000,0.5000
ConcernedApe,1,1,21980000,1.0000
"Square Enix;Feral Interactive (Linux);Feral Interactive (Mac)",1,1,19990000,1.0000
"Dovetail Games - Flight",1,1,19990000,1.0000
"Crate Entertainment",1,1,19990000,1.0000
"Deep Silver",33,35,19980000,0.9429
"Codemasters;Feral Interactive (Mac)",2,2,19980000,1.0000
"The Behemoth",3,3,19980000,1.0000
"Galactic Cafe",1,1,19980000,1.0000
"Mega Crit Games",0,1,19490000,0.0000
"Planetary Annihilation Inc",1,1,15495000,1.0000
M2H,3,4,15490000,0.7500
"Thekla, Inc.",1,1,14995000,1.0000
Bethesda-Soft,1,1,14990000,1.0000
"Data Realms, LLC",1,1,14990000,1.0000
Demruth,1,1,14990000,1.0000
"Snowbird Games",4,4,14990000,1.0000
"Shining Rock Software LLC",1,1,14990000,1.0000
"Studio MDHR Entertainment Inc.",1,1,14990000,1.0000
"Digital Confectioners",1,2,14990000,0.5000
"Berserk Games",1,1,14990000,1.0000
"Monomi Park",1,1,14990000,1.0000
"Crowbar Collective",1,1,14990000,1.0000
"Lucasfilm;LucasArts;Disney Interactive",1,1,14380000,1.0000
"LucasArts;Aspyr (Mac);Disney Interactive;Lucasfilm",1,1,14380000,1.0000
"LucasArts;Disney Interactive;Lucasfilm;Aspyr (Mac, Linux)",1,1,14380000,1.0000
"Double Fine Productions",13,14,13980000,0.9286
"CD PROJEKT RED;1C-SoftClub",2,2,13980000,1.0000
Playdead,2,2,13980000,1.0000
"Subset Games",2,2,13980000,1.0000
"New World Interactive",2,2,13980000,1.0000
3909,1,2,13980000,0.5000
tobyfox,1,1,13980000,1.0000
"Spiderling Studios",1,1,13980000,1.0000
"Kristjan Skutta",1,1,13950000,1.0000
"Gearbox Publishing;Aspyr (Mac)",1,1,13495000,1.0000
"Codemasters;Feral Interactive (Mac);Feral Interactive (Linux)",3,3,12495000,1.0000
"Ninja Theory",2,2,12495000,1.0000
"Ndemic Creations",1,1,11990000,1.0000
"Crytek ",1,1,11990000,1.0000
"Wolfire Games",3,3,11495000,1.0000
"5 Lives Studios",1,1,11495000,1.0000
"Number None",1,1,10990000,1.0000
"Devolver Digital",54,65,10990000,0.8308
"Runic Games",3,3,10990000,1.0000
tinyBuild,24,29,10990000,0.8276
"Cellar Door Games",2,2,10990000,1.0000
"Brace Yourself Games;Klei Entertainment",1,1,10990000,1.0000
"Team Cherry",1,1,10990000,1.0000
"38 Studios;Electronic Arts",1,1,9995000,1.0000
"CAPCOM Co., Ltd. ",1,1,9995000,1.0000
"U-Play Online",2,3,9995000,0.6667
"Avalanche Studios",1,1,9995000,1.0000
2K,31,46,9990000,0.6739
"GSC Game World",4,4,9990000,1.0000
"Warner Bros. Interactive Entertainment",18,20,9990000,0.9000
"Electronic Arts",31,32,9990000,0.9688
"Electronic Arts;Aspyr (Mac)",1,1,9990000,1.0000
"Trendy Entertainment",2,2,9990000,1.0000
"Oovee® Game Studios",1,1,9990000,1.0000
"Activision (Excluding Japan and Asia);FromSoftware (Japan);???? (Asia)",0,1,9980000,0.0000
"Entrada Interactive LLC",1,1,9745000,1.0000
"Bankroll Studios",1,1,9745000,1.0000
"Mode 7",4,5,9495000,0.8000
"Yacht Club Games",2,2,9495000,1.0000
BeamNG,1,1,9495000,1.0000
"Io-Interactive A/S",3,3,8289999.999999999,1.0000
Kloonigames,1,1,7995000,1.0000
"EuroVideo Medien",3,4,7995000,0.7500
"TaleWorlds Entertainment",3,3,7990000,1.0000
"Robot Entertainment",2,2,7990000,1.0000
"Kakao Games Europe B.V.",1,1,7990000,1.0000
"Colibri Games",1,1,7980000,1.0000
"Edmund McMillen",2,2,7980000,1.0000
"LucasArts;Lucasfilm;Disney Interactive;Feral Interactive (Mac)",1,1,7745000,1.0000
"Kunos Simulazioni",1,1,7745000,1.0000
"Joey Drew Studios Inc.",0,1,7745000,0.0000
"Gun Media",1,1,7745000,1.0000
"Frozen District;PlayWay S.A.",0,1,7745000,0.0000
Activision,41,44,7495000,0.9318
"Topware Interactive, ACE",1,1,7495000,1.0000
"Team17 Digital Ltd",33,40,7495000,0.8250
"Larian Studios;Focus Home Interactive",1,1,7495000,1.0000
Beamdog,4,5,7495000,0.8000
"KillHouse Games",1,2,7495000,0.5000
"Heart Machine",1,1,7495000,1.0000
"The Astronauts",1,1,7495000,1.0000
"WB Games",3,4,7495000,0.7500
"Defiant Development",2,2,7495000,1.0000
"Double Damage Games",1,1,7495000,1.0000
"League of Geeks",1,1,7495000,1.0000
"Eleon Game Studios",1,1,7495000,1.0000
"Mastfire Studios Pty Ltd",1,1,7495000,1.0000
"Axolot Games",1,2,7495000,0.5000
