steam_appid;Mesclado.1;Processador_min.1;RAM_min.1.1;GPU_min.1;
10;500 mhz processor, 96mb ram, 16mb video card,  SO: Windows XP, Mouse, Keyboard, Internet Connection  800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection;;;;
20;500 mhz processor, 96mb ram, 16mb video card,  SO: Windows XP, Mouse, Keyboard, Internet Connection  800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection;;;;
30;500 mhz processor, 96mb ram, 16mb video card,  SO: Windows XP, Mouse, Keyboard, Internet Connection  800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection;;;;
40;500 mhz processor, 96mb ram, 16mb video card,  SO: Windows XP, Mouse, Keyboard, Internet Connection  800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection;;;;
50;500 mhz processor, 96mb ram, 16mb video card,  SO: Windows XP, Mouse, Keyboard, Internet Connection  800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection;;;;
60;500 mhz processor, 96mb ram, 16mb video card,  SO: Windows XP, Mouse, Keyboard, Internet Connection  800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection;;;;
70;500 mhz processor, 96mb ram, 16mb video card,  SO: Windows XP, Mouse, Keyboard, Internet Connection  800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection;;;;
80;500 mhz processor, 96mb ram, 16mb video card,  SO: Windows XP, Mouse, Keyboard, Internet Connection  800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection;;;;
130;500 mhz processor, 96mb ram, 16mb video card,  SO: Windows XP, Mouse, Keyboard, Internet Connection  800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection;;;;
220;;1.7 Ghz ;512 MB RAM ;DirectX 8.1 level Graphics Card (requires support for SSE) ;
240;"1.7 GHz Processor, 512MB RAM, DirectX&reg; 8.1 level Graphics Card (Requires support for SSE), SO: Windows  (32/64-bit)/Vista/SO: Windows XP, Mouse, Keyboard, Internet Connection  Pentium 4 processor (3.0GHz, or better), 1GB RAM, DirectX&reg; 9 level Graphics Card, Windows&reg; 7 (32/64-bit)/Vista/XP, Mouse, Keyboard, Internet Connection";;;;
280;1.2 GHz Processor, 256MB RAM, DirectX 7 level graphics card,  SO: Windows XP, Mouse, Keyboard, Internet Connection  2.4 GHz Processor, 512MB RAM, DirectX 9 level graphics card, Windows XP, Mouse, Keyboard, Internet Connection;;;;
300;"1.7 GHz Processor, 512MB RAM, DirectX&reg; 8.1 level Graphics Card (Requires support for SSE), SO: Windows  (32/64-bit)/Vista/SO: Windows XP, Mouse, Keyboard, Internet Connection  Pentium 4 processor (3.0GHz, or better), 1GB RAM, DirectX&reg; 9 level Graphics Card, Windows&reg; 7 (32/64-bit)/Vista/XP, Mouse, Keyboard, Internet Connection";;;;
