genres,avaliacoes_positivas_percentual,concorrentes
"Animation & Modeling;Audio Production;Design & Illustration;Education;Early Access",100.00000000,1
"Adventure;Casual;RPG;Strategy;Early Access",100.00000000,1
"Sexual Content;Violent;Action;Indie;Simulation",100.00000000,1
"Gore;Action;Adventure;Casual;Indie;Early Access",100.00000000,1
Casual;RPG;Strategy,100.00000000,2
Casual;Indie;Utilities,100.00000000,1
"Sexual Content;Nudity;Violent;Gore;Adventure;Indie;Simulation;Strategy",100.00000000,1
Violent,100.00000000,1
"Adventure;Indie;Racing;Strategy;Early Access",100.00000000,1
Violent;Gore;Strategy,100.00000000,1
"Sexual Content;Nudity;Indie;RPG;Simulation",100.00000000,1
"Action;Adventure;Simulation;Strategy;Early Access",100.00000000,1
Violent;Gore;Adventure;Casual;RPG,100.00000000,1
Action;Casual;Racing;Sports,100.00000000,1
"Action;Adventure;Casual;Simulation;Sports;Strategy;Early Access",100.00000000,1
Gore;Adventure;Casual;Indie;Simulation,100.00000000,1
"Sexual Content;Violent;Gore;Adventure;Indie;RPG;Early Access",100.00000000,1
"Action;Adventure;Indie;Racing;Early Access",100.00000000,2
Violent;Gore;Adventure;Casual;Indie;RPG,100.00000000,1
Action;Adventure;Indie;Racing;RPG;Sports,100.00000000,1
"Violent;Action;Adventure;Casual;Indie;Early Access",100.00000000,1
"Sexual Content;Violent;Casual;Indie",100.00000000,1
"Sexual Content;Gore;RPG;Simulation;Strategy",100.00000000,1
"Sexual Content;Adventure;Indie;RPG",100.00000000,1
Action;Adventure;Casual;Indie;Sports;Strategy,100.00000000,1
"Casual;Indie;Racing;Strategy;Early Access",100.00000000,1
"Sexual Content;Nudity;Action;Indie;RPG",100.00000000,1
"Sexual Content;Action;Adventure;Casual;Indie;RPG;Early Access",100.00000000,1
"Violent;Action;Indie;Simulation;Early Access",100.00000000,1
"Design & Illustration;Education;Utilities;Early Access",100.00000000,1
"Sexual Content;Nudity;Casual;Indie;Simulation;Strategy",100.00000000,1
"Action;Casual;Massively Multiplayer;Strategy;Early Access",100.00000000,1
"Indie;Massively Multiplayer;RPG;Simulation;Strategy;Early Access",100.00000000,1
"Action;Casual;Indie;Racing;Sports;Strategy;Early Access",100.00000000,1
Action;Adventure;Casual;Indie;RPG;Simulation;Sports;Strategy,100.00000000,2
"Design & Illustration",98.41850000,2
"Action;Casual;Indie;RPG;Sports;Early Access",97.91670000,1
"Casual;Indie;Audio Production;Early Access",97.67440000,1
Violent;Action;Adventure;Casual;Indie;Simulation,97.43590000,1
Violent;Adventure;Indie;RPG;Simulation,97.23150000,1
"Sexual Content;Nudity;Violent;Action;Casual",97.10140000,1
"Sexual Content;Nudity;Violent;Gore;Adventure;Casual",96.92310000,1
Violent;Adventure;Casual;Indie;RPG;Simulation,96.87055000,2
Action;Adventure;Indie;RPG;Simulation;Sports,95.72190000,1
Action;Adventure;Indie;Racing;Sports,95.24690000,3
"Sexual Content;Nudity;Violent;Gore;Adventure;Indie",95.23810000,1
"Violent;Action;Adventure;Indie;Early Access",95.14930000,1
"Action;Adventure;Indie;Sports;Early Access",95.00000000,2
"Utilities;Game Development;Early Access",95.00000000,1
Violent;Gore;Action;Adventure;Simulation,93.87760000,1
"Animation & Modeling;Design & Illustration;Video Production",93.75000000,1
