genres,avaliacoes_negativas_percentual,concorrentes
"Animation & Modeling;Audio Production;Software Training;Utilities;Video Production",100.00000000,1
"Violent;Gore;Action;Indie;Massively Multiplayer",100.00000000,1
"Nudity;Adventure;Casual;Indie;Early Access",100.00000000,1
Violent;Action;Casual;Racing,100.00000000,1
Adventure;Casual;Sports,100.00000000,1
"Action;Casual;Free to Play;Indie;RPG;Simulation;Strategy",100.00000000,1
"Violent;Action;Adventure;Casual;RPG;Early Access",100.00000000,1
"Action;Adventure;Free to Play;Racing;Sports;Early Access",100.00000000,1
"Action;Adventure;Massively Multiplayer;Racing;Simulation",100.00000000,1
"Sexual Content;Violent;RPG",100.00000000,1
"Sexual Content;Violent;Gore;Adventure;Casual;Indie",100.00000000,1
"Adventure;Casual;Indie;Racing;Simulation;Early Access",100.00000000,1
"Sexual Content;Adventure",100.00000000,1
Violent;Gore;Adventure;Indie;Strategy,100.00000000,1
"Action;Casual;Indie;Racing;Simulation;Sports;Strategy;Early Access",100.00000000,1
Action;Casual;RPG;Sports,100.00000000,1
Violent;Gore;Action;Adventure;Casual;Sports,100.00000000,1
"Casual;Massively Multiplayer;Simulation",100.00000000,1
"Action;Casual;Indie;Racing;RPG;Simulation;Sports;Early Access",100.00000000,1
Violent;Gore;Action;Adventure;Casual;Indie;Simulation,100.00000000,1
Violent;Gore;Action;Adventure;Indie;Racing;RPG;Simulation;Strategy,100.00000000,1
Violent;Action;Indie;RPG,100.00000000,1
"Adventure;Casual;Indie;Racing;Early Access",100.00000000,1
"Casual;Simulation;Sports;Early Access",100.00000000,1
Violent;Action;Simulation;Sports,92.30770000,1
"Adventure;Indie;Massively Multiplayer;RPG;Simulation;Early Access",92.30770000,1
"Casual;Indie;Massively Multiplayer;Sports;Strategy",88.88890000,1
"Sexual Content;Gore;Adventure;Indie",88.00000000,1
"Violent;Action;Adventure;Early Access",87.50000000,2
"Sexual Content;Casual;Indie;Simulation;Sports",86.66670000,1
"Action;Adventure;Casual;Indie;Massively Multiplayer;RPG;Simulation;Strategy",85.84070000,1
"Sexual Content;Action;Indie",83.33330000,1
"Indie;Massively Multiplayer;Simulation;Sports;Early Access",80.00000000,1
"Gore;Action;Early Access",80.00000000,1
"Violent;Action;Adventure;Indie;Massively Multiplayer;RPG;Simulation;Strategy",80.00000000,1
Adventure;Casual;Indie;Racing;Strategy,80.00000000,1
Action;Adventure;Casual;Simulation;Strategy,78.88890000,1
Action;Casual;RPG;Strategy,78.57140000,1
"Violent;Gore;Action;Massively Multiplayer;RPG;Simulation",78.57140000,1
Violent;Action;Casual;Indie;Simulation,75.37707500,8
"Violent;Action;Adventure;Indie;Massively Multiplayer;Racing;RPG;Simulation;Sports;Strategy",75.00000000,1
"Action;Casual;Massively Multiplayer;Simulation;Strategy",75.00000000,1
"Violent;Gore;Action;Indie;Massively Multiplayer;Early Access",75.00000000,1
"Violent;Gore;Casual;Indie;RPG;Simulation;Early Access",75.00000000,1
Violent;Gore;Action;Adventure;Indie;Racing,75.00000000,1
Nudity;Casual;Indie;Sports,75.00000000,1
"Utilities;Video Production",74.31445000,2
"Action;Casual;Free to Play;Indie;Massively Multiplayer",73.33330000,1
"Sexual Content;Nudity;Violent;Gore;Action;Adventure;Indie;Early Access",73.21430000,2
Adventure;Casual;Indie;Simulation;Sports,72.76786250,8
Violent;Action;Adventure;Indie;RPG;Simulation;Sports,72.50000000,1
"Action;Adventure;Casual;Strategy;Early Access",72.22220000,2
"Violent;Gore;Action;Adventure;Indie;Strategy;Early Access",72.22220000,1
"Action;Adventure;Racing;Simulation;Early Access",72.22220000,2
Action;Adventure;Casual;Indie;RPG;Sports,70.00000000,2
Action;Casual;Indie;Racing;Simulation;Strategy,70.00000000,2
"Action;Adventure;Massively Multiplayer;Simulation;Early Access",69.81425000,2
"Casual;Simulation;Strategy;Early Access",69.75310000,3
Violent;Action;Casual;Simulation,69.44445000,2
"Violent;Adventure;Indie;Simulation;Strategy;Early Access",69.23080000,1
"Violent;Action;Adventure;Indie;Simulation;Early Access",69.23080000,1
"Sexual Content;Action;Adventure;Indie;RPG",69.23080000,1
"Action;Casual;Free to Play",66.66670000,1
"Sexual Content;Action;Strategy",66.66670000,1
Nudity;Violent;Gore;Action;Adventure;Casual;Indie;RPG;Simulation;Strategy,66.66670000,1
Violent;Gore;Action;Adventure;Casual;Indie;RPG;Strategy,66.66670000,1
Gore;Adventure;Indie;Racing,66.66670000,1
"Nudity;Adventure;Casual;Indie;RPG;Early Access",66.66670000,1
"Violent;Action;Adventure;Indie;Simulation;Strategy;Early Access",66.66670000,1
Adventure;Racing;Sports,66.66670000,1
"Sexual Content;Violent;Adventure;Casual",66.66670000,1
"Indie;Audio Production;Utilities",66.66670000,1
"Adventure;Casual;Indie;Massively Multiplayer;RPG",66.66670000,1
"Adventure;Massively Multiplayer;RPG",66.66670000,1
Violent;Gore;Action;Adventure;Casual;Indie;Strategy,66.66665000,2
Violent;Action;Indie;RPG;Strategy,66.66665000,2
"Violent;Action;Adventure;Casual;Indie;RPG;Simulation;Early Access",66.38660000,1
"Nudity;Action;Indie;Early Access",65.38460000,1
Action;Casual;Indie;Racing;Simulation;Sports;Strategy,65.38460000,2
"Gore;Indie;Early Access",64.81480000,1
Adventure;Casual;Indie;Racing;Simulation;Sports,64.65436667,6
Violent;Gore;Action;Adventure;Casual;Indie;Racing;Sports,64.44440000,1
Violent;Action;Casual,64.42092500,8
"Gore;Action;Indie;Racing;Early Access",64.28570000,1
Nudity;Violent;Strategy,64.00000000,1
Action;Adventure;Casual;Indie;Racing;Simulation;Sports;Strategy,63.88890000,2
"Violent;Gore;Adventure;Indie;Early Access",63.63640000,2
Nudity;Violent;Gore;Action;Adventure;Indie;RPG;Simulation,63.63640000,1
"Sexual Content;RPG",63.55500000,2
Violent;Gore;Action;Adventure;Casual;Indie;RPG,63.20750000,1
Action;Adventure;Simulation;Strategy,63.00000000,5
"Action;Adventure;Casual;Free to Play;Indie;Racing;RPG;Simulation;Sports",62.96296667,3
"Violent;Action;Indie;Massively Multiplayer;RPG;Strategy;Early Access",62.92130000,1
