publisher,paginas_suporte_por_publisher,jogos_lancados,avaliacoes_positivas_percentual,suporte_por_jogo
"Andy Jurko",1,14,95.51020714,0.0714
"XSEED Games;Marvelous USA, Inc.",12,18,94.07000556,0.6667
"Frontwing USA",13,22,92.57470909,0.5909
"Notus Games Ltd",0,11,91.65096364,0.0000
MangaGamer,24,42,91.43244524,0.5714
"Crew Lab",1,12,90.75951667,0.0833
"Wadjet Eye Games",13,13,90.60257692,1.0000
"Walter Machado",6,12,90.49315833,0.5000
Valve,24,30,89.44651000,0.8000
ebi-hime,8,14,88.76821429,0.5714
"Spike Chunsoft Co., Ltd.",10,15,88.69584000,0.6667
"FIVE-BN GAMES",10,19,88.69202632,0.5263
"Spiderweb Software",14,15,88.45954667,0.9333
"Sekai Project",57,96,88.26518021,0.5938
"Quiet River",9,21,88.10022381,0.4286
"CAPCOM Co., Ltd.",7,13,87.73301538,0.5385
0Cube,0,14,87.69641429,0.0000
"id Software",2,19,87.02170000,0.1053
"Armor Games Studios",7,11,86.59042727,0.6364
"Humongous Entertainment;Nightdive Studios",35,35,86.54124286,1.0000
HH-Games,0,30,85.71886333,0.0000
"Nicalis, Inc.",10,12,85.69465000,0.8333
"PsychoFlux Entertainment",3,22,85.17309091,0.1364
"Fruitbat Factory",18,21,84.88940000,0.8571
"Devolver Digital",54,65,84.40820923,0.8308
"Idea Factory International",11,15,84.32824000,0.7333
iWin,17,18,84.27928333,0.9444
"Microsoft Studios",23,27,83.69957778,0.8519
"Nyu Media",20,20,83.55584500,1.0000
DLsite,0,15,83.21470000,0.0000
"Tripwire Interactive",10,11,83.15978182,0.9091
"Big Fish Games",101,212,82.65005047,0.4764
"Jetdogs Studios",17,25,82.50350800,0.6800
"Adult Swim Games",23,23,82.24166087,1.0000
"PQube Limited",4,16,82.06943125,0.2500
"Winged Cloud",15,21,81.98706667,0.7143
"PopCap Games, Inc.",4,18,81.89821667,0.2222
"10tons Ltd",9,14,81.88480714,0.6429
"Dear Villagers",17,21,81.73964762,0.8095
"Electronic Arts",31,32,81.67911250,0.9688
??????,1,17,81.54683529,0.0588
"Tin Man Games",11,13,81.40259231,0.8462
Degica,68,77,81.29142727,0.8831
"NovaLogic;THQ Nordic",15,15,81.26004667,1.0000
"Rockstar Games",14,15,81.24264000,0.9333
Rebellion,21,23,81.21544348,0.9130
"Double Fine Productions",13,14,81.05991429,0.9286
"11 bit studios",10,11,81.04399091,0.9091
"Kagura Games",0,13,81.04298462,0.0000
"Black Shell Media",19,20,80.94316000,0.9500
"AGM PLAYISM",47,69,80.81746087,0.6812
GrabTheGames,12,27,80.52270000,0.4444
"DL Softworks",12,13,80.43385385,0.9231
Sacada,1,19,80.42824211,0.0526
"Nightdive Studios",26,28,80.39422500,0.9286
"Good Shepherd Entertainment",20,23,80.30843913,0.8696
"Telltale Games",10,14,80.17535000,0.7143
"Artifex Mundi",45,67,80.13887463,0.6716
Headup,12,16,80.07400000,0.7500
SEGA,64,78,80.06759103,0.8205
SakuraGame,0,23,80.00201739,0.0000
"Bethesda Softworks",27,35,79.96176000,0.7714
"Curve Digital",20,21,79.81674762,0.9524
"Daedalic Entertainment",46,49,79.75166122,0.9388
"HeR Interactive",29,32,79.72083750,0.9063
"Jackbox Games, Inc.",15,17,79.50019412,0.8824
Kongregate,6,11,78.83774545,0.5455
"Phoenix Online Publishing",14,15,78.79229333,0.9333
"NIS America, Inc.",19,25,78.74501600,0.7600
"For Kids",0,36,78.67325000,0.0000
GameHouse,8,25,78.63320400,0.3200
"Rising Star Games",20,23,78.61823913,0.8696
"3D Realms (Apogee Software)",12,12,78.61735000,1.0000
tinyBuild,24,29,78.59994483,0.8276
"Warner Bros. Interactive Entertainment",18,20,78.54271000,0.9000
"Alawar Entertainment",20,37,78.28518108,0.5405
"Interplay Entertainment Corp.",10,21,77.36179524,0.4762
"LucasArts;Lucasfilm;Disney Interactive",24,24,77.16443750,1.0000
Interplay,4,18,77.16085556,0.2222
"Paradise Project",3,25,77.03467600,0.1200
"Ghostlight LTD",11,15,76.96910000,0.7333
"Aldorlea Games",33,35,76.91526857,0.9429
"Just1337 Publisher",15,19,76.89470526,0.7895
???,0,16,76.48935000,0.0000
"Arc System Works",16,25,76.40129600,0.6400
KEMCO,5,16,76.12326250,0.3125
Qumaron,23,29,75.95861034,0.7931
"BANDAI NAMCO Entertainment",40,57,75.91124561,0.7018
Activision,41,44,75.87814545,0.9318
"Wales Interactive",8,11,75.51967273,0.7273
rokapublish,5,11,75.49504545,0.4545
"BadLand Publishing",8,14,75.41779286,0.5714
"SNK CORPORATION",15,19,75.15996842,0.7895
"Team17 Digital Ltd",33,40,75.11495500,0.8250
Ubisoft,89,111,75.08154865,0.8018
?????,4,37,74.68997838,0.1081
Ripstone,10,13,74.60943077,0.7692
"Stardock Entertainment",15,15,74.25564000,1.0000
"Digerati Distribution",12,14,74.13977143,0.8571
"Versus Evil",15,15,73.84455333,1.0000
